Indicator,Year,Growth Rate
1 - PIB en volume (Croissance aux prix de l'année précédente) (En %),2016.0,1.1
Valeurs ajoutées par branche en volume (Croissance aux prix de l'année précédente) (En %),2016.0,0.1
Secteur primaire,2016.0,-12.5
"Agriculture, chasse et services annexes",2016.0,-13.7
"Pêche, aquaculture",2016.0,1.1
Secteur secondaire,2016.0,0.6
Industrie d'extraction,2016.0,0.1
Industrie de transformation,2016.0,0.1
Industrie alimentaire et tabac,2016.0,1.5
Industrie du textile et du cuir,2016.0,1.8
Industrie chimique et parachimique,2016.0,-0.4
"Industrie mécanique, métallurgique et électrique",2016.0,2.2
1 - PIB en volume (Croissance aux prix de l'année précédente) (En %),2017.0,4.2
Valeurs ajoutées par branche en volume (Croissance aux prix de l'année précédente) (En %),2017.0,4.4
Secteur primaire,2017.0,13.1
"Agriculture, chasse et services annexes",2017.0,15.2
"Pêche, aquaculture",2017.0,-8.3
Secteur secondaire,2017.0,3.6
Industrie d'extraction,2017.0,17.1
Industrie de transformation,2017.0,2.5
Industrie alimentaire et tabac,2017.0,3.4
Industrie du textile et du cuir,2017.0,3.5
Industrie chimique et parachimique,2017.0,4.6
"Industrie mécanique, métallurgique et électrique",2017.0,2.2
1 - PIB en volume (Croissance aux prix de l'année précédente) (En %),2018.0,3.1
Valeurs ajoutées par branche en volume (Croissance aux prix de l'année précédente) (En %),2018.0,3.0
Secteur primaire,2018.0,2.4
"Agriculture, chasse et services annexes",2018.0,3.7
"Pêche, aquaculture",2018.0,-11.0
Secteur secondaire,2018.0,3.0
Industrie d'extraction,2018.0,4.4
Industrie de transformation,2018.0,3.5
Industrie alimentaire et tabac,2018.0,2.4
Industrie du textile et du cuir,2018.0,3.1
Industrie chimique et parachimique,2018.0,4.5
"Industrie mécanique, métallurgique et électrique",2018.0,6.7
1 - PIB en volume (Croissance aux prix de l'année précédente) (En %),2019.0,2.6
Valeurs ajoutées par branche en volume (Croissance aux prix de l'année précédente) (En %),2019.0,2.7
Secteur primaire,2019.0,-4.6
"Agriculture, chasse et services annexes",2019.0,-5.8
"Pêche, aquaculture",2019.0,8.3
Secteur secondaire,2019.0,3.6
Industrie d'extraction,2019.0,2.4
Industrie de transformation,2019.0,2.8
Industrie alimentaire et tabac,2019.0,1.1
Industrie du textile et du cuir,2019.0,3.1
Industrie chimique et parachimique,2019.0,5.6
"Industrie mécanique, métallurgique et électrique",2019.0,4.7
1 - PIB en volume (Croissance aux prix de l'année précédente) (En %),2020.0,-6.3
Valeurs ajoutées par branche en volume (Croissance aux prix de l'année précédente) (En %),2020.0,-6.1
Secteur primaire,2020.0,-6.9
"Agriculture, chasse et services annexes",2020.0,-8.6
"Pêche, aquaculture",2020.0,12.7
Secteur secondaire,2020.0,-3.8
Industrie d'extraction,2020.0,5.0
Industrie de transformation,2020.0,-5.3
Industrie alimentaire et tabac,2020.0,1.1
Industrie du textile et du cuir,2020.0,-10.6
Industrie chimique et parachimique,2020.0,8.8
"Industrie mécanique, métallurgique et électrique",2020.0,-18.2
